id,日期,字號,標題
310029,2022-08-12,111憲判15,農田水利用地照舊使用案
325412,2022-08-12,111憲判14,農田水利會改制案
309956,2022-08-12,111憲判13,健保資料庫案
340615,2022-07-29,111憲判12,臺大法律學院教師評鑑案
309958,2022-07-29,111憲判11,公立大學就不續聘教師之再申訴決定提起行政訴訟案
309974,2022-06-24,111憲判10,警消人員獎懲累積達二大過免職案
339757,2022-06-24,111憲判9,公務人員考績丁等免職案
340546,2022-05-27,111憲判8,改定親權事件暫時處分案
309994,2022-05-27,111憲判7,偵查中辯護人在場筆記權等之救濟案
309577,2022-05-13,111憲判6,萊劑殘留標準之權限爭議案
309913,2022-04-29,111憲判5,營利事業所得跨年度盈虧互抵案
309908,2022-04-01,111憲判4,原住民與非原住民結婚所生子女之原住民身分案
340434,2022-03-25,111憲判3,被告之辯護人對羈押裁定抗告案
309998,2022-02-25,111憲判2,強制道歉案（二）
310024,2022-02-25,111憲判1,肇事駕駛人受強制抽血檢測酒精濃度案
