id,日期,字號,類型
310025,2023-11-03,112憲判17,判決
310022,2023-10-27,112憲判16,判決
309832,2023-09-28,112憲判15,判決
309990,2023-08-14,112憲判14,判決
325399,2023-08-11,112憲判13,判決
309916,2023-08-04,112憲判12,判決
309954,2023-07-28,112憲判11,判決
325406,2023-07-21,112憲判10,判決
345006,2023-06-16,112憲判9,判決
340775,2023-06-09,112憲判8,判決
345269,2023-05-19,112憲判7,判決
310005,2023-05-05,112憲判6,判決
344513,2023-04-28,112憲判5,判決
310013,2023-03-24,112憲判4,判決
340469,2023-03-17,112憲判3,判決
309945,2023-02-10,112憲判2,判決
309875,2023-01-13,112憲判1,判決
309995,2022-12-30,111憲判20,判決
341172,2022-12-23,111憲判19,判決
309960,2022-12-02,111憲判18,判決
350776,2023-10-20,112憲暫裁1,實體裁定
340360,2022-03-18,111憲暫裁1,實體裁定
340104,2022-02-25,111憲裁57,實體裁定
